STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-TOTAL ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-WTotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-WTotl,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-WTotl,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
CA,06,Monterey County,053,06053,2010,415.057,374.830,0.800,375.630,48.18,0.00,48.18,0.19,0.00,0.19,48.37,0.00,48.37,39.427,1.82,0.20,2.02,51,28.90,77,30.92,2.16,0.00,2.16,0.00,0.00,0.00,2.16,0.00,2.16,478.50,0.95,479.45,170.69,180.22,76.51,427.42,476.69,0.00,476.69,168.32,180.22,76.51,425.05,1.81,0.95,2.76,2.37,0.00,0.00,2.37,0.45,0.58,1.03,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.10,4.89,4.99,0.00,0.00,0.00,0.10,4.89,4.99,0.64,0.00,0.64,0.00,6.88,6.88,0.64,6.88,7.52,452.95,0.00,0.00,0.00,0.00,6.88,6.88,0.00,6.88,6.88,272.50,0.64,0.00,0.64,0.00,0.00,0.00,0.64,0.00,0.64,180.45,531.85,4.89,536.74,1.92,6.88,8.80,533.77,11.77,545.54
CA,06,Napa County,055,06055,2010,136.484,1.450,117.130,118.580,1.02,0.00,1.02,17.52,0.00,17.52,18.54,0.00,18.54,17.904,0.92,0.20,1.12,63,11.00,93,12.12,7.55,0.00,7.55,0.00,0.00,0.00,7.55,0.00,7.55,48.22,20.47,68.69,8.27,36.71,0.00,44.98,47.82,20.08,67.90,7.41,36.71,0.00,44.12,0.40,0.39,0.79,0.86,0.00,0.00,0.86,0.06,0.07,0.13,0.00,,0.00,0.59,,0.59,0.59,0.00,0.59,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.77,0.00,57.77,39.09,0.00,39.09,96.86,0.00,96.86
CA,06,Nevada County,057,06057,2010,98.764,18.030,47.530,65.560,4.98,0.00,4.98,11.17,0.00,11.17,16.15,0.00,16.15,33.204,1.94,0.55,2.49,75,11.14,170,13.63,0.08,0.00,0.08,0.00,0.00,0.00,0.08,0.00,0.08,3.45,26.03,29.48,3.23,0.95,7.00,11.18,2.20,25.17,27.37,2.39,0.95,7.00,10.34,1.25,0.86,2.11,0.84,0.00,0.00,0.84,0.06,0.07,0.13,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.12,0.19,0.31,0.05,0.00,0.05,0.17,0.19,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.63,0.19,10.82,37.87,0.00,37.87,48.50,0.19,48.69
CA,06,Orange County,059,06059,2010,3010.232,2233.060,562.820,2795.880,261.95,12.94,274.89,228.64,0.00,228.64,490.59,12.94,503.53,214.352,14.14,1.88,16.02,75,314.02,112,330.04,18.11,0.00,18.11,0.00,0.00,0.00,18.11,0.00,18.11,13.01,5.39,18.40,5.90,2.40,0.00,8.30,0.00,0.00,0.00,0.00,2.40,0.00,2.40,13.01,5.39,18.40,5.90,0.00,0.00,5.90,0.01,0.03,0.04,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,8.48,8.48,0.00,0.00,0.00,0.00,8.48,8.48,0.00,0.00,0.00,0.16,200.65,200.81,0.16,200.65,200.81,980.35,0.00,0.00,0.00,0.00,200.65,200.65,0.00,200.65,200.65,931.67,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.00,0.16,48.68,307.22,21.42,328.64,236.10,200.65,436.75,543.32,222.07,765.39
CA,06,Placer County,061,06061,2010,348.432,13.750,291.550,305.300,4.03,0.00,4.03,61.99,0.00,61.99,66.02,0.00,66.02,43.132,2.59,0.62,3.21,74,46.03,151,49.24,2.01,0.00,2.01,0.00,0.00,0.00,2.01,0.00,2.01,23.12,96.34,119.46,11.46,9.22,24.14,44.82,20.94,94.84,115.78,9.34,9.22,24.14,42.70,2.18,1.50,3.68,2.12,0.00,0.00,2.12,0.18,0.23,0.41,0.02,,0.02,0.01,,0.01,0.03,0.00,0.03,0.03,0.04,0.07,0.01,0.00,0.01,0.04,0.04,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353.00,31.98,0.04,32.02,159.20,0.00,159.20,191.18,0.04,191.22
CA,06,Plumas County,063,06063,2010,20.007,14.760,2.510,17.270,2.95,0.00,2.95,0.84,0.00,0.84,3.79,0.00,3.79,2.737,0.15,0.06,0.21,77,2.02,117,2.23,1.35,0.00,1.35,0.00,0.00,0.00,1.35,0.00,1.35,20.54,90.89,111.43,22.25,0.00,23.80,46.05,19.44,90.14,109.58,21.51,0.00,23.80,45.31,1.10,0.75,1.85,0.74,0.00,0.00,0.74,0.09,0.12,0.21,1.28,,1.28,0.33,,0.33,1.61,0.00,1.61,0.05,0.07,0.12,0.01,0.00,0.01,0.06,0.07,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.41,0.07,26.48,92.25,0.00,92.25,118.66,0.07,118.73
CA,06,Riverside County,065,06065,2010,2189.641,1280.530,853.240,2133.770,269.83,40.21,310.04,209.05,0.00,209.05,478.88,40.21,519.09,55.871,2.78,0.47,3.25,58,338.87,159,342.12,5.26,0.00,5.26,0.00,0.00,0.00,5.26,0.00,5.26,150.20,336.51,486.71,28.24,23.73,178.44,230.41,126.54,325.39,451.93,13.60,23.73,178.44,215.77,23.66,11.12,34.78,14.64,0.00,0.00,14.64,2.11,2.68,4.79,17.64,,17.64,48.52,,48.52,66.16,0.00,66.16,0.00,0.00,0.00,7.35,0.00,7.35,7.35,0.00,7.35,6.44,0.00,6.44,0.21,0.00,0.21,6.65,0.00,6.65,4454.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.44,0.00,6.44,0.21,0.00,0.21,6.65,0.00,6.65,4454.26,454.26,40.21,494.47,604.79,0.00,604.79,1059.05,40.21,1099.26
CA,06,Sacramento County,067,06067,2010,1418.788,634.430,765.670,1400.100,116.72,0.00,116.72,194.92,0.00,194.92,311.64,0.00,311.64,18.688,0.61,0.08,0.69,37,196.91,141,197.60,16.91,0.00,16.91,0.00,0.00,0.00,16.91,0.00,16.91,142.48,164.09,306.57,31.43,27.41,92.46,151.30,140.12,162.64,302.76,28.38,27.41,92.46,148.25,2.36,1.45,3.81,3.05,0.00,0.00,3.05,1.02,1.30,2.32,34.98,,34.98,3.72,,3.72,38.70,0.00,38.70,2.30,0.00,2.30,0.00,0.00,0.00,2.30,0.00,2.30,0.00,0.00,0.00,1.93,0.00,1.93,1.93,0.00,1.93,1912.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00,1.93,1.93,0.00,1.93,1912.34,315.02,0.00,315.02,366.04,0.00,366.04,681.06,0.00,681.06
CA,06,San Benito County,069,06069,2010,55.269,47.450,0.250,47.700,5.46,0.00,5.46,1.45,0.00,1.45,6.91,0.00,6.91,7.569,0.42,0.15,0.57,75,4.55,95,5.12,4.02,0.00,4.02,0.00,0.00,0.00,4.02,0.00,4.02,52.27,20.42,72.69,24.32,17.52,11.37,53.21,51.98,20.22,72.20,23.97,17.52,11.37,52.86,0.29,0.20,0.49,0.35,0.00,0.00,0.35,0.29,0.37,0.66,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.50,0.00,0.50,0.50,0.09,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.46,0.09,62.55,22.89,0.00,22.89,85.35,0.09,85.44
CA,06,San Bernardino County,071,06071,2010,2035.210,1784.780,216.950,2001.730,367.08,12.99,380.07,93.76,0.00,93.76,460.84,12.99,473.83,33.480,0.89,0.25,1.14,34,259.53,130,260.67,46.01,0.00,46.01,0.00,0.00,0.00,46.01,0.00,46.01,88.73,4.06,92.79,26.40,3.43,5.10,34.93,81.66,0.00,81.66,23.06,3.43,5.10,31.59,7.07,4.06,11.13,3.34,0.00,0.00,3.34,4.09,5.20,9.29,5.79,,5.79,6.85,,6.85,12.64,0.00,12.64,1.77,6.86,8.63,0.00,0.00,0.00,1.77,6.86,8.63,10.81,0.19,11.00,4.09,0.00,4.09,14.90,0.19,15.09,4509.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.81,0.19,11.00,4.09,0.00,4.09,14.90,0.19,15.09,4509.30,525.17,20.04,545.21,114.21,0.00,114.21,639.38,20.04,659.42
CA,06,San Diego County,073,06073,2010,3095.313,78.020,2768.670,2846.690,23.50,6.81,30.31,451.18,0.00,451.18,474.68,6.81,481.49,248.623,14.67,3.99,18.66,75,278.19,98,296.85,1.82,0.00,1.82,0.00,0.00,0.00,1.82,0.00,1.82,37.57,133.34,170.91,22.87,48.95,1.68,73.50,19.71,121.07,140.78,13.95,48.95,1.68,64.58,17.86,12.27,30.13,8.92,0.00,0.00,8.92,0.48,0.61,1.09,0.06,,0.06,0.09,,0.09,0.15,0.00,0.15,0.59,0.90,1.49,0.23,0.00,0.23,0.82,0.90,1.72,0.00,0.00,0.00,0.01,2142.34,2142.35,0.01,2142.34,2142.35,15496.96,0.00,0.00,0.00,0.00,2142.34,2142.34,0.00,2142.34,2142.34,14157.19,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,1339.77,78.69,7.71,86.40,589.45,2142.34,2731.79,668.14,2150.05,2818.19
CA,06,San Francisco County,075,06075,2010,805.235,0.000,805.235,805.235,1.50,0.00,1.50,80.78,0.00,80.78,82.28,0.00,82.28,0.000,0.00,0.00,0.00,N/A,41.81,52,41.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.30,0.74,0.54,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.30,0.74,0.54,0.00,0.00,0.54,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.01,0.00,0.01,0.03,0.03,0.06,0.00,0.00,0.00,0.00,10.41,10.41,0.00,10.41,10.41,431.81,0.00,0.00,0.00,0.00,10.41,10.41,0.00,10.41,10.41,431.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.03,1.99,81.09,10.41,91.50,83.05,10.44,93.49
CA,06,San Joaquin County,077,06077,2010,685.306,189.290,426.760,616.050,43.63,0.00,43.63,71.18,0.00,71.18,114.81,0.00,114.81,69.256,4.60,0.24,4.84,70,72.28,117,77.12,22.88,0.00,22.88,0.00,0.00,0.00,22.88,0.00,22.88,467.68,1117.14,1584.82,126.92,262.14,351.71,740.77,466.03,1116.01,1582.04,124.91,262.14,351.71,738.76,1.65,1.13,2.78,2.01,0.00,0.00,2.01,4.29,5.46,9.75,13.44,,13.44,0.00,,0.00,13.44,0.00,13.44,0.00,1.30,1.30,0.00,0.00,0.00,0.00,1.30,1.30,1.53,0.00,1.53,0.00,0.00,0.00,1.53,0.00,1.53,475.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,1.53,0.00,0.00,0.00,1.53,0.00,1.53,475.05,558.05,1.30,559.35,1194.02,0.00,1194.02,1752.07,1.30,1753.37
CA,06,San Luis Obispo County,079,06079,2010,269.637,137.830,95.860,233.690,21.77,0.23,22.00,12.82,0.00,12.82,34.59,0.23,34.82,35.947,1.39,0.18,1.57,44,24.05,103,25.62,3.96,0.00,3.96,0.00,0.00,0.00,3.96,0.00,3.96,156.49,10.03,166.52,8.91,82.98,23.77,115.66,153.67,8.09,161.76,7.55,82.98,23.77,114.30,2.82,1.94,4.76,1.36,0.00,0.00,1.36,0.46,0.58,1.04,3.46,,3.46,0.00,,0.00,3.46,0.00,3.46,0.00,0.78,0.78,0.00,0.00,0.00,0.00,0.78,0.78,0.00,0.00,0.00,0.00,2366.99,2366.99,0.00,2366.99,2366.99,18519.53,0.00,0.00,0.00,0.00,2366.99,2366.99,0.00,2366.99,2366.99,18519.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.53,1.01,188.54,23.61,2366.99,2390.60,211.14,2368.00,2579.14
CA,06,San Mateo County,081,06081,2010,718.451,52.780,649.270,702.050,5.80,0.00,5.80,77.56,0.00,77.56,83.36,0.00,83.36,16.401,0.92,0.33,1.25,76,56.92,81,58.17,0.26,0.00,0.26,0.00,0.00,0.00,0.26,0.00,0.26,4.83,3.22,8.05,4.39,1.87,0.00,6.26,3.76,2.48,6.24,2.81,1.87,0.00,4.68,1.07,0.74,1.81,1.58,0.00,0.00,1.58,0.03,0.04,0.07,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.84,0.09,11.93,81.15,0.00,81.15,92.99,0.09,93.08
CA,06,Santa Barbara County,083,06083,2010,423.895,91.100,292.930,384.030,23.99,0.00,23.99,47.45,0.00,47.45,71.44,0.00,71.44,39.865,2.66,0.32,2.98,75,39.47,103,42.45,6.36,0.00,6.36,0.00,0.00,0.00,6.36,0.00,6.36,171.05,5.81,176.86,35.80,93.08,1.42,130.30,167.55,3.41,170.96,34.07,93.08,1.42,128.57,3.50,2.40,5.90,1.73,0.00,0.00,1.73,0.37,0.47,0.84,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.13,5.63,5.76,0.00,0.01,0.01,0.13,5.64,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.56,5.63,210.19,54.05,0.01,54.06,258.61,5.64,264.25
CA,06,Santa Clara County,085,06085,2010,1781.642,295.240,1416.580,1711.820,90.42,0.00,90.42,152.91,0.00,152.91,243.33,0.00,243.33,69.822,4.59,0.65,5.24,75,141.63,83,146.87,12.48,0.00,12.48,0.00,0.00,0.00,12.48,0.00,12.48,32.39,3.52,35.91,13.74,13.62,0.00,27.36,30.70,2.81,33.51,10.55,13.62,0.00,24.17,1.69,0.71,2.40,3.19,0.00,0.00,3.19,0.14,0.18,0.32,0.25,,0.25,0.05,,0.05,0.30,0.00,0.30,0.16,0.26,0.42,0.06,0.00,0.06,0.22,0.26,0.48,0.16,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.16,1129.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.16,1129.07,140.59,0.26,140.85,157.37,0.00,157.37,297.96,0.26,298.22
CA,06,Santa Cruz County,087,06087,2010,262.382,124.990,117.940,242.930,13.61,0.00,13.61,10.96,0.00,10.96,24.57,0.00,24.57,19.452,1.25,0.21,1.46,75,15.80,65,17.26,6.96,0.00,6.96,0.00,0.00,0.00,6.96,0.00,6.96,32.85,0.36,33.21,1.82,17.80,0.00,19.62,32.32,0.00,32.32,1.13,17.80,0.00,18.93,0.53,0.36,0.89,0.69,0.00,0.00,0.69,0.02,0.02,0.04,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.02,0.00,0.02,0.07,0.07,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.74,0.07,54.81,11.57,0.00,11.57,66.31,0.07,66.38
CA,06,Shasta County,089,06089,2010,177.223,25.850,137.110,162.960,13.44,0.00,13.44,35.43,0.00,35.43,48.87,0.00,48.87,14.263,0.83,0.24,1.07,75,28.88,177,29.95,15.16,0.00,15.16,0.00,0.00,0.00,15.16,0.00,15.16,23.88,119.60,143.48,12.70,4.86,49.92,67.48,23.34,119.22,142.56,12.03,4.86,49.92,66.81,0.54,0.38,0.92,0.67,0.00,0.00,0.67,0.29,0.37,0.66,20.27,,20.27,6.76,,6.76,27.03,0.00,27.03,0.23,0.36,0.59,0.09,0.00,0.09,0.32,0.36,0.68,2.03,0.00,2.03,0.03,0.00,0.03,2.06,0.00,2.06,686.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,2.03,0.03,0.00,0.03,2.06,0.00,2.06,686.39,76.13,0.36,76.49,162.52,0.00,162.52,238.65,0.36,239.01
CA,06,Sierra County,091,06091,2010,3.240,2.360,0.470,2.830,0.58,0.00,0.58,0.13,0.00,0.13,0.71,0.00,0.71,0.410,0.02,0.01,0.03,73,0.46,163,0.49,0.45,0.00,0.45,0.00,0.00,0.00,0.45,0.00,0.45,12.49,25.30,37.79,15.16,0.00,0.00,15.16,12.49,25.30,37.79,15.16,0.00,0.00,15.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.56,0.00,13.56,25.47,0.00,25.47,39.03,0.00,39.03
CA,06,Siskiyou County,093,06093,2010,44.900,17.110,11.470,28.580,4.07,0.00,4.07,2.77,0.00,2.77,6.84,0.00,6.84,16.320,0.90,0.32,1.22,75,3.55,124,4.77,2.29,0.00,2.29,0.00,0.00,0.00,2.29,0.00,2.29,142.07,246.19,388.26,138.87,0.19,50.56,189.62,141.69,245.93,387.62,138.40,0.19,50.56,189.15,0.38,0.26,0.64,0.47,0.00,0.00,0.47,0.42,0.53,0.95,0.00,,0.00,11.45,,11.45,11.45,0.00,11.45,0.02,0.03,0.05,0.01,0.00,0.01,0.03,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.77,0.03,149.80,261.27,0.00,261.27,411.04,0.03,411.07
CA,06,Solano County,095,06095,2010,413.344,25.850,382.440,408.290,10.26,0.00,10.26,53.04,0.00,53.04,63.30,0.00,63.30,5.054,0.33,0.05,0.38,75,39.29,96,39.67,6.08,0.00,6.08,0.00,0.00,0.00,6.08,0.00,6.08,210.25,171.63,381.88,81.24,5.07,99.01,185.32,209.35,171.01,380.36,80.15,5.07,99.01,184.23,0.90,0.62,1.52,1.09,0.00,0.00,1.09,0.43,0.54,0.97,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227.35,0.16,227.51,225.26,0.00,225.26,452.61,0.16,452.77
CA,06,Sonoma County,097,06097,2010,483.878,82.069,324.858,406.927,15.51,0.00,15.51,33.15,0.00,33.15,48.66,0.00,48.66,76.951,5.38,0.39,5.77,75,31.22,77,36.99,14.77,0.00,14.77,0.00,0.00,0.00,14.77,0.00,14.77,95.51,53.31,148.82,28.41,55.41,9.28,93.10,94.34,52.51,146.85,26.30,55.41,9.28,90.99,1.17,0.80,1.97,2.11,0.00,0.00,2.11,1.41,1.80,3.21,0.00,,0.00,6.18,,6.18,6.18,0.00,6.18,0.12,0.18,0.30,0.05,0.00,0.05,0.17,0.18,0.35,0.00,31.78,31.78,0.00,0.00,0.00,0.00,31.78,31.78,5648.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.78,31.78,0.00,0.00,0.00,0.00,31.78,31.78,5648.30,132.70,31.96,164.66,94.88,0.00,94.88,227.58,31.96,259.54
CA,06,Stanislaus County,099,06099,2010,514.453,472.800,1.210,474.010,76.09,0.00,76.09,27.55,0.00,27.55,103.64,0.00,103.64,40.443,2.85,0.19,3.04,75,72.42,153,75.46,16.03,0.00,16.03,0.00,0.00,0.00,16.03,0.00,16.03,339.45,1160.49,1499.94,54.73,128.44,476.14,659.31,338.69,1159.97,1498.66,53.80,128.44,476.14,658.38,0.76,0.52,1.28,0.93,0.00,0.00,0.93,7.76,9.88,17.64,0.59,,0.59,0.79,,0.79,1.38,0.00,1.38,0.16,0.25,0.41,0.06,0.00,0.06,0.22,0.25,0.47,0.55,0.00,0.55,0.00,0.00,0.00,0.55,0.00,0.55,813.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.55,0.00,0.00,0.00,0.55,0.00,0.55,813.98,443.48,0.25,443.73,1198.96,0.00,1198.96,1642.44,0.25,1642.69
CA,06,Sutter County,101,06101,2010,94.737,12.450,75.530,87.980,2.96,0.00,2.96,15.13,0.00,15.13,18.09,0.00,18.09,6.757,0.42,0.09,0.51,75,10.68,121,11.19,8.58,0.00,8.58,0.00,0.00,0.00,8.58,0.00,8.58,232.25,461.94,694.19,56.68,16.90,174.48,248.06,232.05,461.80,693.85,56.43,16.90,174.48,247.81,0.20,0.14,0.34,0.25,0.00,0.00,0.25,0.07,0.10,0.17,0.05,,0.05,0.00,,0.00,0.05,0.00,0.05,0.00,0.34,0.34,0.00,0.00,0.00,0.00,0.34,0.34,0.02,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.02,24.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.02,24.21,244.35,0.34,244.69,477.26,0.00,477.26,721.61,0.34,721.95
CA,06,Tehama County,103,06103,2010,63.463,35.250,0.120,35.370,9.60,0.00,9.60,0.11,0.00,0.11,9.71,0.00,9.71,28.093,1.57,0.54,2.11,75,4.18,118,6.29,1.79,0.00,1.79,0.00,0.00,0.00,1.79,0.00,1.79,162.89,56.71,219.60,28.59,32.87,25.14,86.60,162.77,56.63,219.40,28.44,32.87,25.14,86.45,0.12,0.08,0.20,0.15,0.00,0.00,0.15,0.50,0.64,1.14,0.83,,0.83,590.00,,590.00,590.83,0.00,590.83,0.14,0.22,0.36,0.05,0.00,0.05,0.19,0.22,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.32,0.22,177.54,648.05,0.00,648.05,825.37,0.22,825.59
CA,06,Trinity County,105,06105,2010,13.786,0.860,6.600,7.460,0.25,0.00,0.25,1.36,0.00,1.36,1.61,0.00,1.61,6.326,0.36,0.12,0.48,76,0.82,110,1.30,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.50,4.06,0.43,4.49,0.21,0.00,2.23,2.44,4.02,0.41,4.43,0.16,0.00,2.23,2.39,0.04,0.02,0.06,0.05,0.00,0.00,0.05,0.02,0.04,0.06,0.00,,0.00,15.13,,15.13,15.13,0.00,15.13,0.12,0.11,0.23,0.03,0.00,0.03,0.15,0.11,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.31,0.11,5.42,17.11,0.00,17.11,22.42,0.11,22.53
CA,06,Tulare County,107,06107,2010,442.179,354.660,20.280,374.940,75.89,0.00,75.89,3.27,0.00,3.27,79.16,0.00,79.16,67.239,4.60,0.44,5.04,75,50.25,134,55.29,16.07,0.00,16.07,0.00,0.00,0.00,16.07,0.00,16.07,1190.34,1268.59,2458.93,102.14,334.01,538.52,974.67,1189.16,1267.79,2456.95,101.28,334.01,538.52,973.81,1.18,0.80,1.98,0.86,0.00,0.00,0.86,17.79,22.65,40.44,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.00,0.00,0.00,0.64,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1305.33,0.00,1305.33,1294.95,0.00,1294.95,2600.28,0.00,2600.28
